width,learning_rate,seed,optimizer,schedule,warmup_steps,total_steps,initial_loss,final_loss,smoothed_final_loss,best_loss,best_step,divergence_flag,nan_flag,throughput,peak_memory_if_available,configuration_hash,execution_mode
256,1e-05,1337,AdamW,wsd,10,60,4.00106954574585,3.453068256378174,3.5757275104522703,3.329068422317505,49,False,False,127.87597735253941,nan,da8faf26e8f9d4f3,smoke
256,4.1617914502878174e-05,1337,AdamW,wsd,10,60,4.00106954574585,2.74776291847229,2.8738018035888673,2.625610828399658,55,False,False,130.66200923416443,nan,26a710f14d447866,smoke
256,0.00017320508075688776,1337,AdamW,wsd,10,60,4.00106954574585,1.6092519760131836,1.5500243663787843,1.1674823760986328,40,False,False,129.75867419115974,nan,09d5ebeb7a2c5370,smoke
256,0.0007208434242404265,1337,AdamW,wsd,10,60,4.00106954574585,1.3624794483184814,0.9694546282291412,0.41034573316574097,42,False,False,129.42165973521224,nan,304eb0ae4b9baba0,smoke
256,0.003,1337,AdamW,wsd,10,60,4.00106954574585,1.1996216773986816,1.0136762380599975,0.481953501701355,56,False,False,128.10381531910886,nan,24edf9f5c22cd7b2,smoke
512,1e-05,1337,AdamW,wsd,10,60,3.704569101333618,2.670370101928711,2.89035849571228,2.549877166748047,40,False,False,66.02017931561176,nan,23128528b77e3158,smoke
512,4.1617914502878174e-05,1337,AdamW,wsd,10,60,3.704569101333618,1.647120714187622,1.8376577615737915,1.3477751016616821,40,False,False,63.895140948724325,nan,9111eb115dad2a4b,smoke
512,0.00017320508075688776,1337,AdamW,wsd,10,60,3.704569101333618,1.1191258430480957,0.9601381301879883,0.4840060770511627,42,False,False,66.55174164092391,nan,28062d8a3c02f5a4,smoke
512,0.0007208434242404265,1337,AdamW,wsd,10,60,3.704569101333618,1.316665768623352,0.910307115316391,0.2589486539363861,42,False,False,67.53068736903182,nan,932007f350064220,smoke
512,0.003,1337,AdamW,wsd,10,60,3.704569101333618,1.2912384271621704,1.5337573528289794,0.6159234642982483,47,False,False,63.7523462438277,nan,6b0772d8f6b9a9ad,smoke
1024,1e-05,1337,AdamW,wsd,10,60,3.5356922149658203,2.257138729095459,2.2648070573806764,1.863693356513977,40,False,False,22.2715268462129,nan,10a9911c06fbbf97,smoke
1024,4.1617914502878174e-05,1337,AdamW,wsd,10,60,3.5356922149658203,1.1706843376159668,1.1340473294258118,0.8819902539253235,26,False,False,23.98494505302803,nan,60925e7390d83c28,smoke
1024,0.00017320508075688776,1337,AdamW,wsd,10,60,3.5356922149658203,1.6098411083221436,0.9999266624450683,0.1517512947320938,48,False,False,23.476814107514254,nan,8e7fcf2dc8d9f6ff,smoke
1024,0.0007208434242404265,1337,AdamW,wsd,10,60,3.5356922149658203,0.5179821848869324,0.8986659705638885,0.27122125029563904,29,False,False,24.34076708812489,nan,d054c6693a0b31bf,smoke
1024,0.003,1337,AdamW,wsd,10,60,3.5356922149658203,2.6150691509246826,2.225000500679016,0.4527144730091095,47,False,False,23.5401082793124,nan,14c90f52f978bfc9,smoke
