layer_name,parameter_shape,parameter_norm,gradient_norm,update_norm,update_to_weight_ratio,learning_rate,warmup_fraction,schedule_multiplier,optimizer_step,execution_mode
blocks.0.mlp.fc2.bias,[64],0.2771461308002472,0.05273446813225746,0.00038790705730207264,0.0013996481068741901,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.1.ln1.weight,[64],7.999985218048096,0.010942419990897179,0.0003528044617269188,4.410063920255581e-05,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.1.ln1.bias,[64],0.0002399942313786596,0.018494192510843277,0.00038479320937767625,1.6033435769152085,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.1.attn.qkv.weight,"[192, 64]",8.015430450439453,0.17403817176818848,0.0051267738454043865,0.000639613041009333,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.1.attn.proj.weight,"[64, 64]",4.575270175933838,0.1748148798942566,0.0029494105838239193,0.0006446418398060893,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.1.ln2.weight,[64],8.000022888183594,0.007086264435201883,0.00035703828325495124,4.462965772039395e-05,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.1.ln2.bias,[64],0.0002399895020062104,0.00874181929975748,0.0003613877925090492,1.505848337064749,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.1.mlp.fc1.weight,"[256, 64]",9.241830825805664,0.12469623982906342,0.005959490779787302,0.0006448387654042324,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.1.mlp.fc1.bias,[256],1.1367759704589844,0.01662062108516693,0.0007763713365420699,0.0006829589617632421,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.1.mlp.fc2.weight,"[64, 256]",4.63440465927124,0.231062114238739,0.005971925798803568,0.001288606895139505,5.9999999999999995e-05,0.2,0.2,1,smoke
blocks.1.mlp.fc2.bias,[64],0.2890569567680359,0.05219952017068863,0.00038512746687047184,0.0013323584084486545,5.9999999999999995e-05,0.2,0.2,1,smoke
ln_f.weight,[64],7.999962329864502,0.06837663054466248,0.00040338377584703267,5.0423209412020434e-05,5.9999999999999995e-05,0.2,0.2,1,smoke
ln_f.bias,[64],0.00023999826225917786,0.07334235310554504,0.0003954073472414166,1.6475425426806216,5.9999999999999995e-05,0.2,0.2,1,smoke
lm_head.weight,"[33, 64]",3.3515026569366455,0.8380371332168579,0.002200441202148795,0.000656553620088743,5.9999999999999995e-05,0.2,0.2,1,smoke
token_emb.weight,"[33, 64]",46.13386154174805,0.045828334987163544,0.001390403718687594,3.013846385760212e-05,8.999999999999999e-05,0.3,0.3,2,smoke
pos_emb.weight,"[32, 64]",44.9320182800293,0.045828334987163544,0.0009092040709219873,2.023510418017649e-05,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.0.ln1.weight,[64],7.999873638153076,0.011833752505481243,0.00047184256254695356,5.8981251940860335e-05,8.999999999999999e-05,0.3,0.3,2,smoke
